"Descricao_do_cargo.emprego","Nome_orgao_de_origem","UF_da_UPAG_de_vinculacao","Cidade_da_residencia","Nivel_escolaridade","Ano_Mes_inicio_afastamento","Ano_Mes_referencia","Valor_rendimento_liquido","Descricao_do_afastamento","Ano_inicio_afastamento","Mes_inicio_afastamento","Rendimento_Liquido_Hora"
"AUDITOR FISCAL FEDERAL AGROPECUARIO     ","MINIST.DA AGRICULTURA,PECUARIA E ABAST. ","DF","BRASILIA                      ","NS",2021-01-01,2021-04-01,20834.24,"Afas. Missão Exterior Com Ônus - EST","2021","01",124.013333333333
"AGENTE DE POL FEDERAL CLASSE ESPECIAL   ","DEPARTAMENTO DE POLICIA FEDERAL         ","PR","GUAIRA                        ","NS",2021-03-01,2021-04-01,22646.38,"Afas. Missão Exterior Com Ônus - EST","2021","03",134.799880952381
"AGENTE DE POL FEDERAL CLASSE ESPECIAL   ","DEPARTAMENTO DE POLICIA FEDERAL         ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,19343.59,"Afas. Missão Exterior Com Ônus - EST","2021","02",115.140416666667
"DELEGADO DE POL FEDERAL CLASSE ESPECIAL ","DEPARTAMENTO DE POLICIA FEDERAL         ","DF","FOZ DO IGUACU                 ","NS",2021-03-01,2021-04-01,65604.73,"Afas. Missão Exterior Com Ônus - EST","2021","03",390.504345238095
"PROFESSOR DO MAGISTERIO SUPERIOR        ","COMANDO DA AERONAUTICA                  ","SP","SAO JOSE DOS CAMPOS           ","NS",2021-02-01,2021-04-01,12730.12,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",75.7745238095238
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO CEARA           ","CE","FORTALEZA                     ","NS",2021-02-01,2021-04-01,18470.47,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",109.943273809524
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-03-01,2021-04-01,12797.06,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",76.1729761904762
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-04-01,5324.62,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",31.6941666666667
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-04-01,13193.95,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",78.5354166666667
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-04-01,12470.41,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",74.228630952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-04-01,2021-04-01,9465.5,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","04",56.3422619047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL FLUMINENSE         ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-04-01,12258.12,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",72.965
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-04-01,19375.74,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",115.331785714286
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-01-01,2021-04-01,46585.38,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",277.293928571429
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-04-01,27357.28,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",162.840952380952
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-02-01,2021-04-01,18593.34,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",110.674642857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO  ","RJ","RIO DE JANEIRO                ","NS",2021-03-01,2021-04-01,17713.59,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",105.438035714286
